source,target,mode,text
11,1,1,"etude, difficulty, memory, games"
1,2,1,"meta-creative circle/practice"
3,4,1,"some things are connected transitively"
5,16,1,"all things are transitively"
23,27,1,"all things connected transitively"
8,28,1,"all things are connected"
9,2,1,"al thre connercle/prcted transitively"
15,6,1,"all things are connected transitively"
30,2,1,"all things are connected transitively"
12,31,1,"all thhre connely"
11,9,1,"all things are connected transitively"
1,12,1,"all thinnercle/prctnre cond transitively"
3,13,1,"all things are connected transitively"
4,14,1,"all gs aretransitively"
7,24,1,"all thin are connected travely"
18,19,1,"all things are consitively"
13,2,2,"etude, ircle/practficulty, memory, games"
2,3,2,"meta-creative circle/practice"
5,4,2,"some things are connected transitively"
7,15,2,"all things are transitively"
23,26,2,"all things connected transitively"
9,28,2,"all things are connected"
7,3,2,"al thre connercle/prcted transitively"
15,16,2,"all things are connircle/practected ttively"
30,21,2,"things aircle/pracnected transitively"
22,1,2,"all thhre connircle/practely"
1,9,2,"all things are connected transitively"
2,12,2,"all thinnercle/prctnre cond transitively"
30,13,2,"all things are connected transitively"
24,14,2,"all gs aretransiircle/practtively"
17,24,2,"all thin are connected travely"
18,19,2,"all things are consitively"
17,19,3,"all things are consitively"
7,4,3,"somircle/practe connected transitively"
9,16,3,"all things are transitively"
23,16,3,"all things connected transitively"
3,1,3,"all things are connected transitively"
12,11,3,"all thhre conircle/practnely"
5,19,3,"all things are connected transitively"
20,2,3,"all thinnercle/prctnre cond transitively"
9,12,3,"etudifficulty, memory, games"
30,22,3,"meta-creative circle/practice"
9,27,3,"all things are connected"
7,2,3,"al thre connercle/prcted transitively"
15,6,3,"all thinircle/practnsitively"
24,5,3,"all gs aretransitively"
23,13,3,"all thin are connected travely"
31,15,3,"all things are connected transitively"
11,9,4,"all things are consitively"
17,14,4,"somircle/practe connected transitively"
19,6,4,"all things are transitively"
2,10,4,"all thhre conircle/practnely"
15,13,4,"all things are connected transitively"
20,23,4,"all thinnerc nre cond transitively"
13,5,4,"etudifnercle/ficulty, memory, games"
29,23,4,"meta-creative circle/practice"
28,12,4,"all things connected transitively"
3,10,4,"all things are co nnected transitively"
19,27,4,"all things are connected"
7,21,4,"al thre connercle/prcted transitively"
19,6,4,"all thinnercle/ /practnsitively"
23,5,4,"all gs aretransitively"
12,13,4,"all thin are connected travely"
31,11,4,"all thinercle/nected transitively"
